"package name","methods","meth extr both","meth extr heurist","meth extr tit","exec time heurist ms","exec time tit ms"
"EmbeddedFreeType","78","48","3","23","1556","80000"
"BaselineOfOSWindow","1","0","1","0","0","2000"
"Reflectivity-Tests","435","383","3","36","625","41000"
"Ring-Definitions-Monticello","7","0","1","2","7","3000"
"Ring-Definitions-Monticello-Tests","7","4","3","0","2","1000"
"Ring-Monticello-Tests","8","5","2","0","2","4000"
"NumericNoise","22","17","5","0","6","4000"
"BaselineOfShift","1","0","1","0","0","2000"
"Spec2-Morphic-Backend-Tests","110","43","72","11","119","56000"
"Spec2-Layout","326","194","18","310","157","163000"
"DrTests-TestsProfiling","29","9","12","2","13","11000"
"MonticelloTonel-Tests-Mocks","27","4","18","1","2","20000"
"Files","220","98","89","11","148","42000"
"Metacello-Base","85","15","45","1","17","13000"
"MonticelloRemoteRepositories","113","48","3","42","43","44000"
"Zinc-HTTP-Examples","111","54","41","1","111","48000"
"Tools","49","13","19","9","14","29000"
"BaselineOfCommander","1","1","0","0","0","2000"
"Tool-Base","242","39","3","29","134","30000"
"FuzzyMatcher-Tests","26","4","18","0","5","5000"
"Calypso-SystemPlugins-InheritanceAnalysis-Queries-Tests","60","49","4","11","13","14000"
"Calypso-SystemPlugins-SUnit-Browser","133","68","7","79","36","118000"
"Spec2-Adapters-Stub","73","70","0","2","14","45000"
"HeuristicCompletion-Tests","214","168","0","21","168","57000"
"DrTests","301","92","153","5","154","250000"
"ThreadedFFI-Graphics-Extensions","1","0","0","0","0","0"
"Athens-Core","380","155","162","5","221","85000"
"LLM-API-Tests","6","0","6","0","0","2000"
"CodeImport-Traits","6","12","0","6","0","12000"
"Tool-Profilers-Tests","17","6","10","2","3","6000"
"SystemCommands-MethodCommands","139","90","93","15","21","367000"
"Commander-Activators-WorldMenu","4","1","3","0","6","3000"
"PharoBootstrap-Initialization","5","4","1","1","1","8000"
"Calypso-SystemPlugins-Flags-Queries-Tests","9","8","0","1","1","3000"
"Morphic-Widgets-Extra","170","39","110","4","147","51000"
"Roassal-Shapes","682","320","31","386","422","292000"
"NewTools-Spotter","494","215","63","129","310","101000"
"BaselineOfInstrumentation","1","1","0","0","0","1000"
"NECompletion-Preferences","40","20","0","16","4","5000"
"UndefinedClasses-Tests","22","3","19","0","3","4000"
"Microdown","791","240","369","30","463","274000"
"Calypso-SystemTools-FullBrowser-Tests","62","60","0","1","18","13000"
"JenkinsTools-ExtraReports","38","23","2","6","15","11000"
"Reflectivity-Tools","121","29","56","1","31","57000"
"Calypso-SystemPlugins-Critic-Queries-Tests","35","25","0","7","11","16000"
"Calypso-SystemQueries-Tests-P3WithSubclassFromP2","0","0","0","0","0","0"
"Native-Browser","9","0","6","1","1","4000"
"Metacello-TestsCore","134","116","0","10","148","32000"
"Roassal-Layouts","631","242","68","479","447","360000"
"Spec2-Morphic-Tests","40","30","34","1","6","42000"
"Calypso-SystemPlugins-Deprecation-Queries","8","5","4","0","0","4000"
"Calypso-SystemPlugins-DebugPoints-Browser","70","30","37","13","7","54000"
"NewTools-Sindarin-Commands-Tests","36","5","28","2","5","9000"
"ColorPicker","58","29","6","10","28","64000"
"Neo-JSON-Core","226","55","52","61","162","150000"
"FileSystem-Zip","14","4","6","0","2","8000"
"BaselineOfReflectionMirrors","1","0","1","0","0","1000"
"Collections-Abstract","145","124","43","8","69","32000"
"FileSystem-Memory","124","33","57","8","26","21000"
"Collections-Stack-Tests","8","32","6","0","6","17000"
"NewTools-DocumentBrowser-GitHubResource","28","6","0","15","4","10000"
"Calypso-SystemPlugins-Reflectivity-Queries","27","8","2","17","9","13000"
"Ring-Definitions-Core-Tests","67","11","67","0","80","12000"
"Settings-Polymorph","42","14","25","1","20","6000"
"J2Inferer-Tests-TestCode","50","22","0","21","5","24000"
"Zodiac-Core","168","58","7","66","114","35000"
"DebugPoints-Tests","67","5","60","0","80","9000"
"TypeInfoTools-Browser","68","127","26","4","21","121000"
"Equals","7","12","1","2","6","17000"
"SortFunctions-Core","60","14","15","5","6","30000"
"Spec2-Code-Morphic","52","25","4","9","12","11000"
"DrTests-CommentsToTests","19","4","8","2","2","8000"
"BaselineOfTraits","3","0","1","0","0","4000"
"NewTools-ObjectCentricBreakpoints","5","0","1","0","0","2000"
"Specific-Rules-Tests","7","0","7","0","1","0"
"Graphics-Transformations","139","50","44","3","39","28000"
"Calypso-SystemPlugins-Traits-Queries","16","8","0","2","2","15000"
"System-SourcesCondenser","34","25","0","7","5","10000"
"DrTests-TestCoverage","34","16","2","10","5","11000"
"Refactoring-Environment","384","152","37","152","271","77000"
"Shift-ClassBuilder-Tests","145","130","4","33","145","59000"
"Spec2-Dialogs-Tests","8","0","8","0","1","2000"
"Debugger-Model","128","47","62","13","49","36000"
"ClassDefinitionPrinters","71","3","24","30","27","10000"
"BaselineOfMenuRegistration","1","0","1","0","0","1000"
"BaselineOfClassParser","1","1","0","0","0","1000"
"Shout","151","65","8","55","129","24000"
"NumericInterpolator","217","88","88","1","144","62000"
